step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
55.0,19,93.0,0.6118421052631579,8.494551191073512,0,0.0,0.7777428308417828,1,11.0,0.45389208528388975,0,4.0,0.4333752108248716,0,4.0,0.8002925180901517,0,0.0,0.8294240986232649,0,4.0,0.8566450184126823,4,19.0,0.4177939264217038,3,12.0,0.0005027346628362244,3,15.0,0.5063595233440171,1,1.0,0.787398060185123,5,111.0,0.48823250165278625,0,8.0,0.7521476601914779,0,4.0,0.8215193035559727,0,7.0,0.8346056707933606,1,36.0,0.33553703803396673,1,15.0,0.7474975408036867,19,251.0
60.0,21,110.0,0.6875,8.879851422331331,1,2.0,0.7308017212051561,3,16.0,0.6310515467655209,1,8.0,0.6232267335574768,0,4.0,0.8484512585075245,1,2.0,0.6834393999733214,0,4.0,0.9262882971208742,4,39.0,0.0,0,4.0,0.27312817441422654,3,30.0,0.6723778038905563,3,11.0,0.46912828961335407,0,46.0,0.37275949505172123,0,8.0,0.5635814107023461,0,4.0,0.922642298888292,1,2.0,0.6921355237727571,3,17.0,0.44082935898377,1,7.0,0.6148212320394179,21,204.0
65.0,21,60.0,0.3409090909090909,8.193748141791174,1,1.0,0.671556027644478,0,8.0,0.6890224960387713,1,13.0,0.7997624448373728,2,8.0,0.6520998541351942,4,17.0,0.4623876925858375,0,0.0,0.8103616185876633,0,24.0,0.45857369277414756,0,4.0,0.4137479199262729,0,14.0,0.7623705130989218,0,10.0,0.5422681005230312,3,56.0,0.28602962820502076,0,7.0,0.5557065658205932,0,0.0,0.8869613917793181,3,12.0,0.14158540190106292,2,13.0,0.3735204931724397,5,21.0,0.5299673623196074,21,208.0
70.0,28,120.0,0.6417112299465241,8.230505393353113,2,7.0,0.7311557843170947,1,5.0,0.5118023052049112,0,2.0,0.9024075149855516,1,3.0,0.22345962821147441,5,39.0,0.5097378649499599,1,3.0,0.24738189913577438,0,0.0,0.8960553610101323,0,6.0,0.8378625800887187,2,6.0,0.6470241826282582,0,4.0,0.8783550278729948,8,82.0,0.3829343675120908,2,11.0,0.5123019704715331,0,0.0,0.938490219980527,0,10.0,0.6847843365392375,6,30.0,0.5349715790197086,0,18.0,0.581822527092088,28,226.0
75.0,24,132.0,0.6947368421052632,8.116510097338589,0,1.0,0.5975400181708012,0,9.0,0.468221097964733,1,3.0,0.8087865464759686,4,19.0,0.18754385970072115,7,71.0,0.36485040419884257,0,4.0,0.8777161264358002,0,2.0,0.8523669472983421,0,8.0,0.848937296218405,1,4.0,0.49990041212513575,0,2.0,0.7974625049025416,5,83.0,0.44408650723007836,1,14.0,0.5534166566925801,1,7.0,0.27469263576401814,0,4.0,0.8832865559767467,1,34.0,0.6212540799745316,3,15.0,0.46369900783287793,24,280.0
80.0,40,210.0,1.0344827586206897,7.7580787151114485,2,6.0,0.7066903197968464,3,11.0,0.6880413744228787,1,1.0,0.23688662495228097,4,24.0,0.31289536902448495,10,110.0,0.18907950027421314,0,4.0,0.8959202645848493,2,8.0,0.3892992704695295,0,4.0,0.8733791205390324,2,13.0,0.7415641381970333,3,7.0,0.6403024715984148,1,38.0,0.41199325960395844,3,17.0,0.47455592269702646,2,18.0,0.7343788242136868,0,0.0,0.6513378892305343,2,9.0,0.4668120937506996,5,38.0,0.5188448622610395,40,308.0
85.0,44,320.0,1.4746543778801844,7.60786052151928,0,2.0,0.6197435218691292,0,6.0,0.763350341291418,6,21.0,0.0645713996572415,7,36.0,0.5340474218363056,11,164.0,0.2290859666367966,0,0.0,0.8507381233710518,7,31.0,0.23089134562598787,2,8.0,0.32638159818990864,1,7.0,0.7678131686318896,0,9.0,0.5129723855100562,2,35.0,0.32607064176765693,1,23.0,0.5206800604709232,0,8.0,0.8973832379615474,0,4.0,0.43798515051473774,2,10.0,0.37995331392567583,5,67.0,0.4530106481447564,44,431.0
90.0,47,390.0,1.7972350230414746,7.167967632341138,2,8.0,0.5617333981573217,1,4.0,0.455262354933107,0,30.0,0.5320231308893314,2,41.0,0.39398314738707474,12,225.0,0.3240202002098697,0,0.0,0.8759774158784742,7,70.0,0.09813450126674103,0,7.0,0.2649740582988475,3,13.0,0.5302560034639986,2,13.0,0.7777440020782905,8,62.0,0.39569040005010564,3,17.0,0.5510838593941355,2,7.0,0.3721526168346237,0,4.0,0.8152463850513204,4,22.0,0.5602762010124998,1,55.0,0.4042710396533661,47,578.0
95.0,45,458.0,2.0913242009132422,7.631466354290585,5,30.0,0.5582781475235612,0,7.0,0.4176202501190024,0,8.0,0.8923779368449266,3,18.0,0.22158538078498413,14,294.0,0.31932174601202507,0,0.0,0.7082562523058168,1,63.0,0.5337466022122735,0,8.0,0.7261313068078019,0,8.0,0.5937796907191225,1,5.0,0.791088509033639,12,114.0,0.41648861356542816,6,39.0,0.42089267808342523,2,15.0,0.20187035795719455,0,8.0,0.7726994946264989,1,17.0,0.6174779430953596,0,15.0,0.5887397234597058,45,649.0
100.0,59,711.0,3.1184210526315788,8.094858991015634,7,60.0,0.4663484646155402,3,11.0,0.45410925309558664,1,7.0,0.5779136136686948,3,23.0,0.4285632112106555,17,370.0,0.1948643553407835,0,0.0,0.5909977809789103,0,15.0,0.868978276857771,0,8.0,0.8935305053244994,0,3.0,0.9002072744046321,2,9.0,0.6070995691807565,13,173.0,0.3475184057700873,7,70.0,0.21680279576549985,2,16.0,0.660380962573959,0,4.0,0.7703926616242007,2,12.0,0.5712779082275974,2,9.0,0.6036141931029658,59,790.0
