step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
295.0,22,1265.0,8.664383561643836,10.691026908980277,22,1265.0,0.6999021542951672,22,1265.0
300.0,19,1326.0,8.84,10.77678333048686,19,1377.0,0.680087076396386,19,1377.0
305.0,17,1385.0,9.172185430463577,10.880791065791943,17,1387.0,0.7365143189901339,17,1387.0
310.0,19,1476.0,10.10958904109589,10.96449687245688,19,1476.0,0.7396935838407127,19,1476.0
315.0,18,1547.0,10.595890410958905,11.086798172893333,18,1572.0,0.7222080173895745,18,1572.0
320.0,22,1645.0,11.04026845637584,11.042596921695825,22,1645.0,0.7009383925181516,22,1645.0
325.0,25,1764.0,11.838926174496644,10.678606084690362,25,1764.0,0.6665536711720563,25,1764.0
330.0,28,1897.0,13.17361111111111,10.394624271423316,28,1897.0,0.635363440198725,28,1897.0
335.0,33,2052.0,13.959183673469388,10.031395666327608,33,2052.0,0.6157880590857152,33,2052.0
340.0,37,2234.0,14.601307189542483,10.031262296168572,37,2234.0,0.6123997342804093,37,2234.0
345.0,39,2423.0,15.733766233766234,9.63313752846418,39,2423.0,0.5927734048364034,39,2423.0
350.0,38,2446.0,15.481012658227849,9.17213100295109,38,2632.0,0.5544777040402836,38,2632.0
355.0,26,2277.0,14.142857142857142,9.062922170915781,26,2451.0,0.5877135662422,26,2451.0
360.0,27,2408.0,14.593939393939394,9.478880392943704,27,2477.0,0.6286288939606409,27,2477.0
365.0,29,2546.0,15.065088757396449,10.016973590153958,29,2550.0,0.664589091163219,29,2550.0
370.0,30,2605.0,15.505952380952381,10.16711019343837,30,2698.0,0.6510028213125005,30,2698.0
375.0,26,2684.0,15.881656804733728,10.13831087981426,26,2695.0,0.6791975124199534,26,2695.0
380.0,26,2781.0,16.553571428571427,9.924656936361002,26,2828.0,0.6492618046562342,26,2828.0
385.0,33,2920.0,16.976744186046513,9.973229008014572,33,2933.0,0.6592342943645301,33,2933.0
390.0,34,3086.0,17.43502824858757,10.154012684626215,34,3096.0,0.6529501092291107,34,3096.0
395.0,32,3189.0,17.237837837837837,10.10437206868188,32,3271.0,0.6327182309532365,32,3271.0
400.0,31,3254.0,17.126315789473683,10.069586724786976,31,3287.0,0.6529743751960356,31,3287.0
405.0,37,3425.0,17.746113989637305,9.873516052001667,37,3426.0,0.6173151603868569,37,3426.0
410.0,45,3638.0,18.56122448979592,9.814972032311875,45,3638.0,0.5823828405619549,45,3638.0
415.0,44,3771.0,19.14213197969543,9.547358372517484,44,3871.0,0.5446780687871847,44,3871.0
420.0,32,3778.0,18.796019900497512,9.353335718518021,32,3877.0,0.5676023528303776,32,3877.0
425.0,37,3921.0,19.31527093596059,9.279522757524976,37,4052.0,0.5618004754757334,37,4052.0
430.0,46,4119.0,20.803030303030305,9.324415155532046,46,4226.0,0.5740997498044671,46,4226.0
435.0,51,4364.0,21.392156862745097,9.414663452576642,51,4467.0,0.5833485619579762,51,4467.0
440.0,55,4631.0,21.9478672985782,9.488776008105516,55,4734.0,0.59190848105514,55,4734.0
445.0,51,4782.0,22.036866359447004,9.280015185018838,51,5006.0,0.5758944342328961,51,5006.0
450.0,38,4678.0,20.883928571428573,9.343828750764803,38,4916.0,0.6227330062313279,38,4916.0
455.0,45,4885.0,21.147186147186147,9.534088246293773,45,5011.0,0.6413055965846073,45,5011.0
460.0,47,5118.0,21.59493670886076,10.007935625697398,47,5119.0,0.664090108569619,47,5119.0
465.0,49,5266.0,22.600858369098713,9.670641252019012,49,5360.0,0.6114360572399259,49,5360.0
470.0,45,5370.0,22.658227848101266,9.8958230271394,45,5419.0,0.6637114817521729,45,5419.0
475.0,44,5545.0,22.358870967741936,9.880862608744993,44,5647.0,0.6473142477043973,44,5647.0
480.0,46,5734.0,22.138996138996138,9.877353041712434,46,5800.0,0.6607601003285868,46,5800.0
485.0,50,5932.0,22.217228464419474,9.639316138615813,50,6055.0,0.6247385529978644,50,6055.0
490.0,51,6121.0,22.925093632958802,9.484063698436193,51,6194.0,0.6253586421787756,51,6194.0
495.0,56,6395.0,23.511029411764707,9.509715396596013,56,6426.0,0.6284256726775936,56,6426.0
500.0,64,6616.0,24.145985401459853,9.230953004329667,64,6709.0,0.5803012991774837,64,6709.0
505.0,54,6728.0,24.201438848920862,8.937868891355537,54,6842.0,0.5566027539843719,54,6842.0
510.0,63,7020.0,24.718309859154928,8.77191094022296,63,7081.0,0.5448288056677926,63,7081.0
515.0,69,7358.0,25.285223367697593,9.095931182230412,69,7372.0,0.5602192689521057,69,7372.0
520.0,76,7600.0,26.480836236933797,8.82373918219693,76,7743.0,0.5195210510697716,76,7743.0
525.0,71,7640.0,26.344827586206897,8.738387587575428,71,7892.0,0.5233132233916998,71,7892.0
530.0,72,7941.0,27.102389078498295,8.586431085371872,72,8120.0,0.5213429252734834,72,8120.0
535.0,78,8325.0,28.125,8.598164626511778,78,8408.0,0.5059729378201108,78,8408.0
540.0,89,8620.0,29.023569023569024,8.29710726885609,89,8808.0,0.46920489476410093,89,8808.0
545.0,75,8543.0,27.91830065359477,8.125503088044098,75,8982.0,0.46537135255185397,75,8982.0
550.0,79,8877.0,28.728155339805824,8.133931042816856,79,9185.0,0.47526219225517474,79,9185.0
555.0,82,9285.0,29.290220820189276,8.712542480035433,82,9446.0,0.5184327477875453,82,9446.0
560.0,88,9597.0,30.0846394984326,8.536598383810626,88,9865.0,0.4777090602818682,88,9865.0
565.0,92,9681.0,30.253125,8.02184410975223,92,10064.0,0.4496144612393179,92,10064.0
570.0,89,9980.0,30.33434650455927,8.187809098746257,89,10380.0,0.47525400524206635,89,10380.0
575.0,94,10426.0,31.689969604863222,8.36084681020713,94,10701.0,0.4944189174872127,94,10701.0
580.0,96,10899.0,32.4375,8.66735740978716,96,11047.0,0.5056586912070331,96,11047.0
585.0,105,11255.0,33.397626112759646,8.356207890176112,105,11560.0,0.47054225778817127,105,11560.0
590.0,92,11101.0,32.55425219941349,8.252675108271273,92,11675.0,0.4776422711215367,92,11675.0
595.0,80,11317.0,33.48224852071006,8.227177303824469,80,11890.0,0.48465281805306126,80,11890.0
600.0,85,11724.0,34.48235294117647,8.441711945917632,85,12091.0,0.4984420892684595,85,12091.0
605.0,92,12177.0,35.60526315789474,8.755951902122513,92,12355.0,0.5136263544160202,92,12355.0
610.0,96,12506.0,36.78235294117647,8.55617891775444,96,12763.0,0.48354665671465946,96,12763.0
615.0,92,12565.0,36.10632183908046,8.346348514882228,92,12969.0,0.48009582400261935,92,12969.0
620.0,93,12893.0,36.83714285714286,8.402011005320272,93,13337.0,0.49073772077756006,93,13337.0
625.0,99,13360.0,38.06267806267806,8.335721006112179,99,13652.0,0.474133035672066,99,13652.0
630.0,106,13881.0,39.10140845070423,8.634256232005415,106,14042.0,0.48287926141462834,106,14042.0
635.0,110,14416.0,40.38095238095238,8.633315099021543,110,14500.0,0.471030626722511,110,14500.0
640.0,121,14817.0,41.27298050139276,8.104819918496355,121,15049.0,0.4314614051303342,121,15049.0
645.0,109,14666.0,40.51381215469613,8.024436480413915,109,15221.0,0.43957476317323774,109,15221.0
650.0,94,14918.0,41.32409972299169,8.20908350092135,94,15549.0,0.4639617817411941,94,15549.0
655.0,95,15374.0,42.82451253481894,8.395441495410774,95,15714.0,0.4774749451709092,95,15714.0
660.0,100,15867.0,44.57022471910113,8.567600625302827,100,16003.0,0.4864089705071212,100,16003.0
665.0,107,16248.0,45.898305084745765,8.150036725005036,107,16524.0,0.44109001153566735,107,16524.0
670.0,108,16340.0,45.13812154696133,7.879963943723434,108,16763.0,0.4270332961748271,108,16763.0
675.0,113,16832.0,45.98907103825137,7.896358232930677,113,17198.0,0.4242251579934645,113,17198.0
680.0,122,17424.0,47.73698630136986,7.888320198727841,122,17641.0,0.425314752789894,122,17641.0
685.0,128,17926.0,49.794444444444444,7.662092841172621,128,18247.0,0.4040119856625248,128,18247.0
690.0,114,17998.0,49.99444444444445,7.360433959953292,114,18505.0,0.4041185010039294,114,18505.0
695.0,118,18462.0,50.85950413223141,7.372292706173954,118,18932.0,0.4095707219872166,118,18932.0
700.0,123,19069.0,51.537837837837834,7.685447553589969,123,19310.0,0.4223703330638109,123,19310.0
705.0,131,19704.0,52.544,7.929289251207396,131,19783.0,0.4378532677767324,131,19783.0
710.0,135,20214.0,53.33509234828496,7.600969608713605,135,20399.0,0.40983249847459574,135,20399.0
715.0,123,20192.0,53.27704485488127,7.47595545230131,123,20760.0,0.41687324185358915,123,20760.0
720.0,114,20540.0,53.769633507853406,7.628651914036159,114,21146.0,0.44136093993028913,114,21146.0
725.0,118,21100.0,54.24164524421594,7.937317509718232,118,21449.0,0.46453925087245945,118,21449.0
730.0,130,21725.0,55.705128205128204,7.976402576501697,130,21837.0,0.4435377971390537,130,21837.0
735.0,135,22390.0,56.39798488664987,8.097169103439443,135,22426.0,0.4437103063688783,135,22426.0
740.0,138,22896.0,57.96455696202532,7.7625401715045825,138,23117.0,0.41772668368802235,138,23117.0
745.0,123,22835.0,57.0875,7.815060140666008,123,23423.0,0.44813744200265804,123,23423.0
750.0,111,23236.0,58.09,7.980443106993541,111,23783.0,0.46985000023545115,111,23783.0
755.0,117,23764.0,57.9609756097561,8.019969878787881,117,24058.0,0.462362523224066,117,24058.0
760.0,130,24384.0,59.618581907090466,8.014352263206092,130,24534.0,0.4537122201862725,130,24534.0
765.0,138,25059.0,61.419117647058826,8.09107237984914,138,25137.0,0.45306247739038874,138,25137.0
770.0,144,25769.0,62.09397590361446,8.108699612221946,144,25801.0,0.4508917367391526,144,25801.0
775.0,148,26322.0,61.5,7.922499439810669,148,26536.0,0.43335263290436776,148,26536.0
780.0,135,26396.0,61.67289719626168,7.759123534109629,135,26868.0,0.43844678147392024,135,26868.0
785.0,131,26971.0,62.288683602771364,7.879865915802973,131,27373.0,0.45827087724810234,131,27373.0
790.0,138,27641.0,63.9837962962963,7.920723225917194,138,27801.0,0.46131974701448814,138,27801.0
795.0,148,28359.0,65.19310344827586,8.046702738830039,148,28403.0,0.46373565721941973,148,28403.0
800.0,156,29124.0,65.74266365688487,8.119117709542374,156,29138.0,0.4645991966678943,156,29138.0
805.0,161,29747.0,65.09190371991247,7.955419699494011,161,29937.0,0.44628257654395725,161,29937.0
810.0,147,29903.0,64.58531317494601,7.786099837357077,147,30356.0,0.445787113816195,147,30356.0
815.0,144,30519.0,65.0724946695096,7.598297328053513,144,30927.0,0.4346448270228501,144,30927.0
820.0,149,31254.0,67.21290322580646,7.737025384557551,149,31414.0,0.4556414267807101,149,31414.0
825.0,158,31919.0,68.79094827586206,7.662051976886376,158,32156.0,0.4464449640380292,158,32156.0
830.0,156,32405.0,68.94680851063829,7.4405471535574765,156,32752.0,0.4363318380082243,156,32752.0
835.0,168,33179.0,68.97920997920998,7.291190086761438,168,33466.0,0.42224937909204435,168,33466.0
840.0,182,34048.0,69.48571428571428,7.256856366674151,182,34253.0,0.41101586803501405,182,34253.0
845.0,193,34985.0,70.81983805668017,7.3234229602080685,193,35135.0,0.4103989158298395,193,35135.0
850.0,201,35969.0,72.66464646464647,7.358254199105595,201,36095.0,0.4128012605574209,201,36095.0
855.0,206,36801.0,75.25766871165644,6.974245109190756,206,37031.0,0.38876539241026165,206,37031.0
860.0,198,36959.0,74.8157894736842,6.580457759420206,198,37662.0,0.3654677379430047,198,37662.0
865.0,194,37425.0,74.25595238095238,6.514871907845325,194,38453.0,0.3637534639930555,194,38453.0
870.0,186,38049.0,74.314453125,6.694264986607378,186,39025.0,0.37708272237383617,186,39025.0
875.0,190,38958.0,75.35396518375242,6.875767725779663,190,39590.0,0.378816585818902,190,39590.0
880.0,203,39938.0,76.95183044315992,6.953128690021232,203,40279.0,0.3752572231016754,203,40279.0
885.0,215,40986.0,78.51724137931035,7.093457265224864,215,41126.0,0.3721909815602249,215,41126.0
890.0,218,41850.0,79.11153119092627,6.742515052791064,218,42218.0,0.34540648060910584,218,42218.0
895.0,221,42058.0,79.20527306967985,6.385072209410855,221,42896.0,0.3297014307688119,221,42896.0
900.0,221,42552.0,78.94619666048237,6.298221972549168,221,43810.0,0.3232808158393157,221,43810.0
905.0,216,43305.0,80.64245810055866,6.428027120574405,216,44491.0,0.33655654837537524,216,44491.0
910.0,207,44209.0,83.09962406015038,6.55346823706364,207,45159.0,0.3415862136988877,207,45159.0
915.0,209,45218.0,83.58225508317929,6.768179329022903,209,45913.0,0.34947077710971186,209,45913.0
920.0,222,46303.0,84.8040293040293,6.874695940515815,222,46742.0,0.347841028200332,222,46742.0
925.0,234,47239.0,85.42314647377938,6.567541878286751,234,47882.0,0.32917874731115904,234,47882.0
930.0,234,47485.0,86.33636363636364,6.138006549064392,234,48522.0,0.31602311553540924,234,48522.0
935.0,238,47993.0,86.94384057971014,5.907144061384714,238,49472.0,0.3030801588714447,238,49472.0
940.0,233,48865.0,87.72890484739676,6.08917484440207,233,50233.0,0.31825349385128937,233,50233.0
945.0,238,49894.0,90.71636363636364,6.154643946087093,238,50979.0,0.3149902933320293,238,50979.0
950.0,246,51090.0,92.3869801084991,6.353441109731216,246,51839.0,0.3131352475079793,246,51839.0
955.0,251,52343.0,93.63685152057245,6.5769561569487935,251,52886.0,0.32209644104891955,251,52886.0
960.0,261,53625.0,94.91150442477876,6.6087368371830895,261,54047.0,0.3186154907222163,261,54047.0
965.0,270,54961.0,96.76232394366197,6.512743708504094,270,55297.0,0.311008403126885,270,55297.0
970.0,277,56065.0,97.67421602787456,6.242546251439105,277,56673.0,0.29607505357550906,277,56673.0
975.0,270,56117.0,98.10664335664336,6.002981867092015,270,57367.0,0.2897068002482664,270,57367.0
980.0,259,56477.0,99.08245614035087,5.923512767419818,259,58269.0,0.29246324074621216,259,58269.0
985.0,255,56890.0,100.15845070422536,5.889960812243459,255,58927.0,0.28755931286858616,255,58927.0
990.0,243,57540.0,100.2439024390244,6.054048264725354,243,59555.0,0.2951587885829998,243,59555.0
995.0,235,58424.0,100.38487972508591,6.395026022617781,235,60213.0,0.321847558007324,235,60213.0
1000.0,238,59571.0,102.53184165232358,6.561181253287546,238,60823.0,0.33192602943985317,238,60823.0
