step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
55.0,15,38.0,0.25,9.10345458208267,3,11.0,0.531596956822692,0,4.0,0.897119131319219,0,5.0,0.9085745335364783,0,4.0,0.8580338848419325,0,1.0,0.6224154952472309,1,5.0,0.3573193824810823,0,0.0,0.8093176292326133,0,4.0,0.9630125273549166,1,5.0,0.626173251270872,1,2.0,0.6905138511717315,5,31.0,0.37671989068829437,0,8.0,0.8291506535225349,2,11.0,0.47930148213663876,0,3.0,0.9058507981084537,0,4.0,0.5677589883027709,2,13.0,0.5386059638408363,15,111.0
60.0,23,129.0,0.80625,9.569810034466432,5,27.0,0.526579413962096,0,0.0,0.748583258280193,0,3.0,0.8854666459835505,0,4.0,0.9170067606061261,0,0.0,0.9296741859590356,1,12.0,0.7807234619292238,1,4.0,0.6471708459004879,0,0.0,0.9740408381077024,0,3.0,0.5679534684211194,3,13.0,0.5061413158296734,5,49.0,0.535941534548477,0,6.0,0.8786266695045039,0,10.0,0.6628023688813214,1,8.0,0.5017185011393492,4,13.0,0.34455829849893327,3,28.0,0.7122905145959961,23,180.0
65.0,25,123.0,0.6988636363636364,8.667719775638519,2,31.0,0.516489178412072,2,12.0,0.49126850029981406,0,0.0,0.4045450201332397,0,0.0,0.9045302581088795,0,4.0,0.814204543817862,0,6.0,0.873609721340329,1,11.0,0.4598371651142284,0,0.0,0.924706935686098,3,9.0,0.6700621177916696,5,35.0,0.5510165375322688,1,39.0,0.6422995300220762,2,7.0,0.5420913653961527,1,6.0,0.587045005608469,5,26.0,0.37819376378255304,0,19.0,0.5354414432485535,3,39.0,0.6128809453486631,25,244.0
70.0,16,48.0,0.25396825396825395,8.447684787595797,3,16.0,0.5825501749265988,0,7.0,0.759273615333285,1,8.0,0.34676482529253144,1,5.0,0.5876440443615673,0,4.0,0.9147813083561629,1,5.0,0.8238545645855362,0,2.0,0.9155020487379223,1,1.0,0.7115629580040201,0,5.0,0.681823933685144,1,26.0,0.6547473485190466,2,9.0,0.5335285564082485,2,18.0,0.17613363852912364,0,6.0,0.55530802578047,1,35.0,0.5230626956122402,2,10.0,0.7025227929087616,1,28.0,0.17709227329005342,16,185.0
75.0,18,46.0,0.2358974358974359,8.858270773828679,1,13.0,0.4790767233626312,0,4.0,0.9236947749128348,0,4.0,0.8363979509991605,1,12.0,0.7428603816249889,0,4.0,0.9377731594265899,4,8.0,0.4817294307212842,0,2.0,0.9141879186471249,0,0.0,0.609268018757678,4,8.0,0.4038191711966266,0,5.0,0.5843849815541752,1,7.0,0.3654734053120067,5,25.0,0.4531258878087919,0,4.0,0.6303227580784753,2,17.0,0.5150386889553186,0,5.0,0.837032982714838,0,7.0,0.6627666531383916,18,125.0
80.0,38,152.0,0.7238095238095238,8.49989661749726,5,22.0,0.5166896462482377,0,0.0,0.7491567302063663,0,2.0,0.9021466988174702,0,4.0,0.9040442530337269,1,5.0,0.40341038910987925,7,33.0,0.26769201052963415,1,4.0,0.5562419573796153,4,9.0,0.011241913089282822,1,18.0,0.4827249410842868,2,13.0,0.42753901979666237,3,18.0,0.6739896845650037,6,55.0,0.6088001829529353,4,17.0,0.47341751004740146,0,10.0,0.7064564047556885,1,5.0,0.505190897915968,3,11.0,0.7308172474333294,38,226.0
85.0,26,158.0,0.7214611872146118,8.28249656068119,3,26.0,0.48219151816589556,1,8.0,0.5025299867215519,1,1.0,0.5713071143033142,0,2.0,0.8984561487258534,0,7.0,0.5430525002709697,1,36.0,0.4901634025141001,0,5.0,0.39455938094991394,0,17.0,0.6031720679100608,3,12.0,0.7005058311976629,4,29.0,0.6330701724876332,0,10.0,0.8294135382386768,6,81.0,0.4800416841611954,1,20.0,0.20870314484168215,2,11.0,0.2612028660586346,1,10.0,0.4041117405938518,3,24.0,0.7230687271571027,26,299.0
90.0,36,237.0,1.1023255813953488,8.149716310175867,4,23.0,0.5122455550047241,4,22.0,0.5711560282251121,2,4.0,0.2163334854604239,1,8.0,0.6740445260886638,1,8.0,0.7385454425592258,0,6.0,0.6227285728246176,0,7.0,0.7384349129064185,0,4.0,0.9359070682655902,0,8.0,0.6482706839337155,1,25.0,0.6991585297937951,2,5.0,0.5527354078889589,10,122.0,0.020764540480462095,4,23.0,0.13985702386069898,0,13.0,0.517885439843625,2,16.0,0.6901017558719952,5,42.0,0.47115929873860535,36,336.0
95.0,37,208.0,0.9541284403669725,8.023800344108901,2,20.0,0.48222424835848415,0,18.0,0.7304418023045319,1,9.0,0.42985908033238074,0,4.0,0.7675008375963277,3,21.0,0.6571128719111884,2,6.0,0.5875044664619831,0,7.0,0.8614799492106674,1,5.0,0.6931712341147955,3,6.0,0.3981217890523973,1,8.0,0.4695910267603854,4,26.0,0.4122910174365072,7,131.0,0.10250169155814295,0,22.0,0.6055924592728582,0,8.0,0.8681099040348469,4,33.0,0.6651182565735533,9,78.0,0.28911178713986085,37,402.0
100.0,45,345.0,1.554054054054054,8.22060113381803,5,23.0,0.5323774236261566,1,6.0,0.4949146408564856,1,13.0,0.6452929306638203,0,4.0,0.969907155499406,5,41.0,0.5628996244131,4,23.0,0.5711750523897263,1,9.0,0.6332000910786231,4,19.0,0.4180262725360319,1,16.0,0.43354389438141927,1,6.0,0.46118728810533366,5,48.0,0.517781504534969,0,59.0,0.535546688521982,0,8.0,0.8269624599792588,1,7.0,0.7518803512371945,7,57.0,0.49494385471305286,9,123.0,0.0937179021025218,45,462.0
105.0,48,347.0,1.52863436123348,8.013274657553298,1,21.0,0.5653053351287025,7,35.0,0.31520159986209534,1,22.0,0.7451069627892625,0,0.0,0.7107793618600954,7,75.0,0.5764923795955698,4,43.0,0.5276938393646043,7,27.0,0.3647938568204007,0,12.0,0.32420496670627713,2,9.0,0.5228934238187145,3,16.0,0.6615181037873844,1,40.0,0.6100820972094498,2,64.0,0.5322264521592641,0,4.0,0.8432797280110378,2,13.0,0.25637804321821767,8,93.0,0.2501768648926289,3,108.0,0.09699713396649567,48,582.0
110.0,36,228.0,0.987012987012987,8.143294455018362,2,7.0,0.6422372405019615,1,38.0,0.606981663876638,1,25.0,0.8378142296602711,0,4.0,0.49663676634888143,9,116.0,0.41208135793336426,1,25.0,0.3663147216997061,3,36.0,0.3235205697376264,0,4.0,0.7907379560543115,1,9.0,0.620355386178852,0,6.0,0.7272374853219096,2,8.0,0.46823137252031377,7,90.0,0.5534426747297119,2,7.0,0.24980056675022608,2,18.0,0.2632430185234656,5,83.0,0.2863206207471229,0,30.0,0.6437701436406025,36,506.0
115.0,35,204.0,0.9147982062780269,8.555043829553924,4,23.0,0.55607997767077,2,17.0,0.7486863579764474,0,4.0,0.724856100408528,0,6.0,0.8269865291657753,5,108.0,0.3185959359722849,5,20.0,0.06557899429030942,4,30.0,0.5830315975604236,1,6.0,0.7089946091503716,1,14.0,0.7846442081175422,1,5.0,0.5482804325332312,1,6.0,0.34136526803375095,7,125.0,0.4000828095333252,3,22.0,0.6004552752707365,0,6.0,0.8580740075357348,0,34.0,0.5399039546493607,1,18.0,0.8302843288200792,35,444.0
120.0,27,97.0,0.44495412844036697,7.366460322596516,0,17.0,0.583777445646167,3,20.0,0.4717782481697604,3,15.0,0.4032785435797251,0,6.0,0.9072533326785613,4,44.0,0.3180309990979977,0,20.0,0.6509565338271358,1,28.0,0.43506450566165644,4,20.0,0.42536875490174875,0,4.0,0.8046245277532599,0,8.0,0.4310505955158558,4,21.0,0.40295571344411774,5,108.0,0.09876728810684945,0,17.0,0.6356496710749806,0,4.0,0.7196617448348503,2,33.0,0.5248190852610138,1,23.0,0.8253185414344367,27,388.0
125.0,37,147.0,0.6391304347826087,7.636833860342369,1,4.0,0.7230983317159156,8,47.0,0.24701757139966524,1,18.0,0.4538256722463247,0,2.0,0.8458243751542137,3,48.0,0.3150760172855213,0,4.0,0.9110369732961371,2,25.0,0.26331637509859174,1,25.0,0.3355796208681036,2,6.0,0.5962960471997366,2,11.0,0.6626737374559939,1,21.0,0.5947044555376781,1,45.0,0.4770116525929726,0,4.0,0.8292205545659961,5,15.0,0.2721535527915922,7,60.0,0.5255372275803818,3,30.0,0.5361432191160983,37,365.0
130.0,42,198.0,0.8081632653061225,7.846529992269704,3,14.0,0.6031809894108219,6,61.0,0.3078532448630874,3,22.0,0.6508850702515103,1,4.0,0.5229201675869295,7,63.0,0.39351425904730053,0,0.0,0.7720401602214504,1,16.0,0.5166659286650668,5,29.0,0.5279503112598964,1,11.0,0.5407853664290572,0,4.0,0.7084458381420456,1,7.0,0.8259876187946247,3,30.0,0.6021830047499718,0,8.0,0.7375556375807214,1,25.0,0.19865787969004822,10,96.0,0.3266024027527763,0,12.0,0.12453950978747574,42,402.0
135.0,52,332.0,1.3662551440329218,7.970030795876503,5,36.0,0.4544344084317,1,38.0,0.4612969889465551,3,35.0,0.6875983417997156,1,10.0,0.44856694935133956,10,110.0,0.36054632733385794,2,4.0,0.3929155719379153,2,16.0,0.814407063942935,5,49.0,0.635228587584451,1,12.0,0.7868120074434827,0,2.0,0.5916964304466591,2,13.0,0.5319400878137214,8,59.0,0.46448415592987813,0,4.0,0.7007551702398246,2,15.0,0.6379350300372348,7,99.0,0.17886565211060523,3,17.0,0.5323656897217618,52,519.0
